protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
joint_all,effformer_l1_eca,27,val,busi,104,0.34,0.822567783094099,0.7980769230769231,0.7683413078149921,0.7754703402899146,0.8787878787878788,0.6578947368421053,0.7575757575757576,0.8169014084507042,58,8,13,25
joint_all,effformer_l1_eca,27,val,aul,102,0.34,0.7426136363636363,0.6862745098039216,0.7176136363636363,0.6416337285902503,0.7727272727272727,0.6625,0.9137931034482759,0.38636363636363635,17,5,27,53
joint_all,effformer_l1_eca,27,test,tn5000,1000,0.34,0.9102994966318385,0.862,0.8205692960270047,0.8261710778904727,0.7259786476868327,0.9151599443671766,0.8952380952380953,0.769811320754717,204,77,61,658
joint_all,effformer_l1_eca,27,test,busi,129,0.34,0.7834008097165991,0.7906976744186046,0.7520242914979758,0.7500896893162087,0.8461538461538461,0.6578947368421053,0.6410256410256411,0.8555555555555555,77,14,13,25
joint_all,effformer_l1_eca,27,test,aul,127,0.34,0.6900328587075575,0.5984251968503937,0.5859802847754655,0.5779081133919843,0.5454545454545454,0.6265060240963856,0.7222222222222222,0.43636363636363634,24,20,31,52
joint_all,effformer_l1_eca,37,val,combined,706,0.38,0.8858966973886329,0.8229461756373938,0.823195084485407,0.8008849058349183,0.8238095238095238,0.8225806451612904,0.9168539325842696,0.6628352490421456,173,37,88,408
joint_all,effformer_l1_eca,37,val,tn5000,500,0.38,0.8945702142423455,0.852,0.8327261687917425,0.811393850420031,0.7950819672131147,0.8703703703703703,0.9293785310734464,0.6643835616438356,97,25,49,329
joint_all,effformer_l1_eca,37,val,busi,104,0.38,0.8728070175438597,0.8269230769230769,0.7910685805422648,0.8033613445378152,0.9242424242424242,0.6578947368421053,0.8333333333333334,0.8243243243243243,61,5,13,25
joint_all,effformer_l1_eca,37,val,aul,102,0.38,0.73125,0.6764705882352942,0.678409090909091,0.6210739614994933,0.6818181818181818,0.675,0.8852459016393442,0.36585365853658536,15,7,26,54
joint_all,effformer_l1_eca,37,test,tn5000,1000,0.38,0.8430501041878053,0.792,0.7632189824736808,0.7523809523809524,0.697508896797153,0.8289290681502086,0.8751835535976505,0.6144200626959248,196,85,123,596
joint_all,effformer_l1_eca,37,test,busi,129,0.38,0.7917871602082128,0.7984496124031008,0.7421920185078079,0.7495519713261649,0.8791208791208791,0.6052631578947368,0.6764705882352942,0.8421052631578947,80,11,15,23
joint_all,effformer_l1_eca,37,test,aul,127,0.38,0.7267250821467689,0.6850393700787402,0.6575848849945236,0.6558265582655827,0.5681818181818182,0.7469879518072289,0.7654320987654321,0.5434782608695652,25,19,21,62
lodo_busi,effformer_l1,17,val,combined,602,0.49,0.8489431707908782,0.8073089700996677,0.7686196021348859,0.7511403808872164,0.6944444444444444,0.8427947598253275,0.8976744186046511,0.5813953488372093,100,44,72,386
lodo_busi,effformer_l1,17,val,tn5000,500,0.49,0.8850832682799896,0.844,0.7913522421719144,0.789739276703112,0.6885245901639344,0.8941798941798942,0.898936170212766,0.6774193548387096,84,38,40,338
lodo_busi,effformer_l1,17,val,aul,102,0.49,0.696590909090909,0.6274509803921569,0.6636363636363636,0.5867803837953092,0.7272727272727273,0.6,0.8888888888888888,0.3333333333333333,16,6,32,48
lodo_busi,effformer_l1,17,test,busi,129,0.49,0.6844997108155002,0.5813953488372093,0.6036726431463274,0.5650599400599401,0.5494505494505495,0.6578947368421053,0.3787878787878788,0.7936507936507936,50,41,13,25
lodo_busi,effformer_l1,27,val,combined,602,0.41,0.8985171033478894,0.7873754152823921,0.8269347404172731,0.756620173842733,0.9027777777777778,0.7510917030567685,0.9608938547486033,0.5327868852459017,130,14,114,344
lodo_busi,effformer_l1,27,val,tn5000,500,0.41,0.9485428051001821,0.858,0.8700017347558331,0.8272329532458305,0.8934426229508197,0.8465608465608465,0.960960960960961,0.6526946107784432,109,13,58,320
lodo_busi,effformer_l1,27,val,aul,102,0.41,0.7590909090909091,0.4411764705882353,0.6272727272727273,0.4406926406926407,0.9545454545454546,0.3,0.96,0.2727272727272727,21,1,56,24
lodo_busi,effformer_l1,27,test,busi,129,0.41,0.7593984962406015,0.7364341085271318,0.6369288606130712,0.6467461340206185,0.8791208791208791,0.39473684210526316,0.5769230769230769,0.7766990291262136,80,11,23,15
lodo_busi,effformer_l1,37,val,combined,602,0.27,0.9138161086851043,0.872093023255814,0.8421427704997574,0.8302069940623363,0.7847222222222222,0.8995633187772926,0.9300225733634312,0.710691823899371,113,31,46,412
lodo_busi,effformer_l1,37,val,tn5000,500,0.27,0.9459189869025935,0.902,0.868570561193512,0.8675496688741722,0.8032786885245902,0.9338624338624338,0.9363395225464191,0.7967479674796748,98,24,25,353
