threshold,acc,bal_acc,precision_macro,recall_macro,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,model_key,model_display,condition,split,clean_val_threshold,clean_val_temperature,mean_box_iou,checkpoint_count
0.72,0.642,0.6327738745771533,0.6009546421328584,0.6327738745771533,0.5945805154036755,0.7092115534738487,0.6147540983606558,0.6507936507936508,75,47,132,246,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,full_image,val,0.72,1.1479811668395996,nan,9
0.72,0.916,0.9036473156172817,0.8921264575069119,0.9036473156172817,0.8975889513108615,0.9622746103475072,0.8754448398576512,0.9318497913769124,246,35,49,670,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,gt,test,0.72,1.1479811668395996,1.0,9
0.72,0.911,0.8969184167413222,0.8863531248193328,0.8969184167413222,0.8913806254767354,0.9593989279297561,0.8647686832740213,0.9290681502086231,243,38,51,668,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_5,test,0.72,1.1479811668395996,0.8985827177168292,9
0.72,0.899,0.8842376966823238,0.871092181494866,0.8842376966823238,0.877242303031629,0.9556174797935052,0.8505338078291815,0.9179415855354659,239,42,59,660,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_10,test,0.72,1.1479811668395996,0.8102815437370148,9
0.72,0.875,0.8664639005340553,0.8402573529411765,0.8664639005340553,0.8513318878828353,0.9462875979390117,0.8469750889679716,0.885952712100139,238,43,82,637,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_20,test,0.72,1.1479811668395996,0.6622179286845508,9
0.72,0.903,0.8848514395735476,0.8776347741622146,0.8848514395735476,0.8811214779173954,0.9497003053865838,0.8434163701067615,0.9262865090403338,237,44,53,666,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,detector,test,0.72,1.1479811668395996,0.7892154860398759,9
0.72,0.647,0.6450413039066716,0.619424882629108,0.6450413039066716,0.6153137808116771,0.6868698617593634,0.6405693950177936,0.6495132127955494,180,101,252,467,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,full_image,test,0.72,1.1479811668395996,nan,9
0.86,0.91,0.9210469251452857,0.8657305381326401,0.9210469251452857,0.8871473354231975,0.9748677248677249,0.9426229508196722,0.8994708994708994,115,7,38,340,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,gt,val,0.86,1.9991729259490967,1.0,7
0.86,0.908,0.9169485644895481,0.8635057471264368,0.9169485644895481,0.8843779533892341,0.9749761471072946,0.9344262295081968,0.8994708994708994,114,8,38,340,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_5,val,0.86,1.9991729259490967,0.8974570285738712,7
0.86,0.91,0.9238225344782722,0.8654978962131837,0.9238225344782722,0.8876522312266879,0.9759302628155087,0.9508196721311475,0.8968253968253969,116,6,39,339,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_10,val,0.86,1.9991729259490967,0.8135604121109896,7
0.86,0.886,0.9079495186052563,0.8382963802125478,0.9079495186052563,0.8612996948593287,0.9725041200451036,0.9508196721311475,0.8650793650793651,116,6,51,327,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_20,val,0.86,1.9991729259490967,0.6667514401003822,7
0.86,0.912,0.9168184578020644,0.8689726658476659,0.9168184578020644,0.8883815322171487,0.9625943273484256,0.9262295081967213,0.9074074074074074,113,9,35,343,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,detector,val,0.86,1.9991729259490967,0.7860568885560593,7
0.86,0.468,0.6342701014832162,0.6342701014832162,0.6342701014832162,0.468,0.7323705438459537,0.9590163934426229,0.30952380952380953,117,5,261,117,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,full_image,val,0.86,1.9991729259490967,nan,7
0.86,0.868,0.8778552655675389,0.8325687973478662,0.8778552655675389,0.8480935743581954,0.9556620256485134,0.900355871886121,0.8553546592489569,253,28,104,615,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,gt,test,0.86,1.9991729259490967,1.0,7
0.86,0.873,0.8791644187508352,0.8376260489387208,0.8791644187508352,0.8527295476709815,0.9553650532817921,0.8932384341637011,0.8650904033379694,251,30,97,622,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_5,test,0.86,1.9991729259490967,0.8985827177168292,7
0.86,0.866,0.8721286484292636,0.8300475419119486,0.8721286484292636,0.8450107335850174,0.9542316087488059,0.8861209964412812,0.8581363004172462,249,32,102,617,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_10,test,0.86,1.9991729259490967,0.8102815437370148,7
0.86,0.856,0.8684263929241385,0.8204174576322258,0.8684263929241385,0.8356344510190664,0.9513361281732736,0.896797153024911,0.8400556328233658,252,29,115,604,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,noise_20,test,0.86,1.9991729259490967,0.6622179286845508,7
0.86,0.871,0.8745217507510926,0.8353126772546795,0.8745217507510926,0.849890909090909,0.9522592172798322,0.8825622775800712,0.866481223922114,248,33,96,623,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,detector,test,0.86,1.9991729259490967,0.7892154860398759,7
0.86,0.462,0.6009384326788393,0.6162214838919251,0.6009384326788393,0.4604266039771975,0.711122605041601,0.9181494661921709,0.28372739916550765,258,23,515,204,effformer_l1_eca_kd,EfficientFormer-L1+ECA+KD student,full_image,test,0.86,1.9991729259490967,nan,7
0.83,0.918,0.9291135397692775,0.8755099717262187,0.9291135397692775,0.8967103506305707,0.9770795385549484,0.9508196721311475,0.9074074074074074,116,6,35,343,effformer_l1_kd,EfficientFormer-L1+KD student,gt,val,0.83,1.9698278903961182,1.0,7
0.83,0.91,0.915495706479313,0.8663741180519704,0.915495706479313,0.8861099722108332,0.9754098360655737,0.9262295081967213,0.9047619047619048,113,9,36,342,effformer_l1_kd,EfficientFormer-L1+KD student,noise_5,val,0.83,1.9698278903961182,0.8974570285738712,7
0.83,0.906,0.9156258131667968,0.8610216420862293,0.9156258131667968,0.8821316614420063,0.9776650186486252,0.9344262295081968,0.8968253968253969,114,8,39,339,effformer_l1_kd,EfficientFormer-L1+KD student,noise_10,val,0.83,1.9698278903961182,0.8135604121109896,7
0.83,0.896,0.9117876658860266,0.8490808823529412,0.9117876658860266,0.8715897192753709,0.9746075114927574,0.9426229508196722,0.8809523809523809,115,7,45,333,effformer_l1_kd,EfficientFormer-L1+KD student,noise_20,val,0.83,1.9698278903961182,0.6667514401003822,7
0.83,0.912,0.9057160204701189,0.8712301587301587,0.9057160204701189,0.886220236248164,0.9671480614103565,0.8934426229508197,0.917989417989418,109,13,31,347,effformer_l1_kd,EfficientFormer-L1+KD student,detector,val,0.83,1.9698278903961182,0.7860568885560593,7
0.83,0.524,0.6435510451903894,0.6180035650623885,0.6435510451903894,0.5195723790452813,0.7195767195767195,0.8770491803278688,0.41005291005291006,107,15,223,155,effformer_l1_kd,EfficientFormer-L1+KD student,full_image,val,0.83,1.9698278903961182,nan,7
0.83,0.885,0.8820895965630398,0.8513362218055378,0.8820895965630398,0.8639940110058412,0.9584535658956934,0.8754448398576512,0.8887343532684284,246,35,80,639,effformer_l1_kd,EfficientFormer-L1+KD student,gt,test,0.83,1.9698278903961182,1.0,7
0.83,0.885,0.8853414439786378,0.8510479041916168,0.8853414439786378,0.864742640529456,0.9574983047827399,0.8861209964412812,0.8845618915159944,249,32,83,636,effformer_l1_kd,EfficientFormer-L1+KD student,noise_5,test,0.83,1.9698278903961182,0.8985827177168292,7
0.83,0.883,0.8806987759788951,0.8489583333333333,0.8806987759788951,0.8618848119331523,0.9563896079469805,0.8754448398576512,0.885952712100139,246,35,82,637,effformer_l1_kd,EfficientFormer-L1+KD student,noise_10,test,0.83,1.9698278903961182,0.8102815437370148,7
0.83,0.874,0.8787758799043749,0.8386547184423055,0.8787758799043749,0.8535094939799378,0.952865535861888,0.8896797153024911,0.8678720445062587,250,31,95,624,effformer_l1_kd,EfficientFormer-L1+KD student,noise_20,test,0.83,1.9698278903961182,0.6622179286845508,7
0.83,0.88,0.8731927994100149,0.8459343270982157,0.8731927994100149,0.857413770977999,0.9533580150367009,0.8576512455516014,0.8887343532684284,241,40,80,639,effformer_l1_kd,EfficientFormer-L1+KD student,detector,test,0.83,1.9698278903961182,0.7892154860398759,7
0.83,0.524,0.6332143794019967,0.6260520141064729,0.6332143794019967,0.5236265231941842,0.7063265013190522,0.8825622775800712,0.38386648122392214,248,33,443,276,effformer_l1_kd,EfficientFormer-L1+KD student,full_image,test,0.83,1.9698278903961182,nan,7
0.31,0.894,0.8882600398993841,0.847838756677999,0.8882600398993841,0.8645962669446274,0.9561757307658947,0.8770491803278688,0.8994708994708994,107,15,38,340,effformer_l1_eca,EfficientFormer-L1+ECA student,gt,val,0.31,1.672381043434143,1.0,7
