dataset,mode,fold,split,threshold,temperature,acc,bal_acc,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,n,run_dir,data_root,used_ckpts
busi,full,2,test,0.6,6.421316146850586,0.7209302325581395,0.7037962037962038,0.7060759493670886,0.7752247752247752,0.7922077922077922,0.6153846153846154,61,16,20,32,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
busi,full,3,val,0.44,2.995537519454956,0.6893203883495146,0.7199519230769231,0.6885865457294029,0.7684294871794871,0.59375,0.8461538461538461,38,26,6,33,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,full,3,test,0.44,2.995537519454956,0.6201550387596899,0.6568431568431569,0.6186885443687036,0.7732267732267734,0.4675324675324675,0.8461538461538461,36,41,8,44,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,full,4,val,0.64,4.471525192260742,0.7669902912621359,0.773015873015873,0.7619414483821263,0.8369047619047619,0.746031746031746,0.8,47,16,8,32,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
busi,full,4,test,0.64,4.471525192260742,0.7131782945736435,0.6941808191808192,0.6967791118734515,0.7812187812187812,0.7922077922077922,0.5961538461538461,61,16,21,31,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
aul,oracle,0,val,0.86,0.04500924050807953,0.8823529411764706,0.925,0.8523166023166023,0.9414772727272727,1.0,0.85,22,0,12,68,102,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624,<LOCAL_THYROID_ROOT>\aul\aul_voc_roi_v1,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624\epoch001_auc_0.9420.pth
aul,oracle,0,test,0.86,0.04500924050807953,0.8188976377952756,0.8678272082527402,0.7989538165049213,0.8778207607994841,0.9696969696969697,0.7659574468085106,32,1,22,72,127,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624,<LOCAL_THYROID_ROOT>\aul\aul_voc_roi_v1,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200624\epoch001_auc_0.9420.pth
aul,oracle,1,val,0.8,0.06345020979642868,0.696078431372549,0.7772791686348607,0.6893604479811377,0.7675956542276807,0.9655172413793104,0.589041095890411,28,1,30,43,102,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747,<LOCAL_THYROID_ROOT>\aul\aul_voc_roi_v1,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747\epoch001_auc_0.7681.pth
aul,oracle,1,test,0.8,0.06345020979642868,0.7480314960629921,0.8297872340425532,0.7341705913134484,0.8778207607994841,1.0,0.6595744680851063,33,0,32,62,127,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747,<LOCAL_THYROID_ROOT>\aul\aul_voc_roi_v1,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200747\epoch001_auc_0.7681.pth
aul,oracle,2,val,0.86,0.05298493430018425,0.9313725490196079,0.9556962025316456,0.9107834562039235,0.9504678040726472,1.0,0.9113924050632911,23,0,7,72,102,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200911,<LOCAL_THYROID_ROOT>\aul\aul_voc_roi_v1,<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200911\epoch003_auc_0.9516.pth|<LOCAL_THYROID_ROOT>\aul_roi_runs_ggg_mca_clean_5fold_safe\20260426_200911\epoch001_auc_0.9510.pth
